City_ID,Name,Admin unit,County,Acres burned,Lon,Lat,Date extinguished,Date created,Duration (days),Year extinguished,Year,Month created (num),Month
1168,Charlie Fire,US Forest Service - Angeles National Forest,Los Angeles,3380.0,-118.60858,34.48229,2019-01-04,2018-09-22,104 days,2019,2018,9,September
1169,Oak Fire,CAL FIRE Madera Mariposa Merced Unit,Madera,360.0,-119.68912,37.38789,2019-01-04,2018-09-22,104 days,2019,2018,9,September
1170,Copper Fire,CAL FIRE Lassen-Modoc Unit,Lassen,53.0,-120.93005,40.33642,2019-01-04,2018-09-22,104 days,2019,2018,9,September
1171,Wilson Fire,Lassen National Forest,Tehama,261.0,-121.43025,40.34256,2019-01-04,2018-09-28,98 days,2019,2018,9,September
1172,Silver Fire,CAL FIRE Shasta-Trinity Unit,Shasta,76.0,-122.17173,40.5939,2019-01-04,2018-09-28,98 days,2019,2018,9,September
1173,Quimby Fire,CAL FIRE Santa Clara Unit,Santa Clara,30.0,-121.75815,37.33563,2019-01-04,2018-09-23,103 days,2019,2018,9,September
1174,Nimshew Fire,CAL FIRE Butte Unit,Butte,33.0,-121.62168,39.84151,2019-01-04,2018-09-24,102 days,2019,2018,9,September
1175,Shandon Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,80.0,-120.258,-120.258,2019-01-04,2018-09-29,97 days,2019,2018,9,September
1176,Keenbrook Fire,San Bernardino National Forest,San Bernardino,53.0,-117.42431,34.24138,2019-01-04,2018-09-26,100 days,2019,2018,9,September
1177,Nacimiento Fire,Fort Hunter Liggett Military Reservation,Monterey,150.0,-121.24898,35.97677,2019-01-04,2018-10-02,94 days,2019,2018,10,October
1178,Eagle Fire,Sierra National Forest,Fresno,32.0,-119.3127769,36.938674,2019-01-04,2018-10-02,94 days,2019,2018,10,October
1179,Sun Fire,CAL FIRE Tehama-Glenn Unit,Tehama,3889.0,-122.18,40.22027778,2019-01-04,2018-10-07,89 days,2019,2018,10,October
1180,Park Fire,CAL FIRE Santa Clara Unit/San Jose City Fire & South Santa Clara County FPD,Santa Clara,63.0,-121.68694444,37.1769444,2019-01-04,2018-10-07,89 days,2019,2018,10,October
1181,Iron Gate Fire,CAL FIRE Siskiyou Unit,Siskiyou,15.0,-122.43933,41.94046,2019-01-04,2018-10-10,86 days,2019,2018,10,October
1182,Winters Fire,Solano County Fire Protection District,Solano,160.0,-121.94658,38.45673,2019-01-04,2018-10-12,84 days,2019,2018,10,October
1183,Priest Fire,CAL FIRE San Benito - Monterey Unit,Monterey,167.0,-120.69955,36.18401,2019-01-04,2018-10-13,83 days,2019,2018,10,October
1184,Tower Fire,CAL FIRE Shasta - Trinity Unit,Shasta,12.0,-122.51597,40.49618,2019-01-04,2018-10-14,82 days,2019,2018,10,October
1185,Masonic Fire,Redding City Fire,Shasta,38.0,-122.38366,40.60866,2019-01-04,2018-10-14,82 days,2019,2018,10,October
1186,Powellton Fire,CAL FIRE Butte Unit,Butte,10.0,-121.54103,39.93427,2019-01-04,2018-10-15,81 days,2019,2018,10,October
1187,Camino Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,58.0,-120.48861,35.17693,2019-01-04,2018-10-19,77 days,2019,2018,10,October
1188,Market Fire,CAL FIRE Tulare Unit,Tulare,120.0,-119.10433,36.47766,2019-01-04,2018-10-24,72 days,2019,2018,10,October
1189,June Fire,CAL FIRE Butte Unit/Butte County Fire Department,Butte,550.0,-121.51707,39.36529,2019-01-04,2018-10-30,66 days,2019,2018,10,October
1190,Rincon Fire,CAL FIRE San Mateo - Santa Cruz Unit,Santa Cruz,17.0,-122.046,37.0125,2019-01-04,2018-11-03,62 days,2019,2018,11,November
1191,Brushy Fire,CAL FIRE Mendocino Unit,Mendocino,35.0,-123.28774,39.62194,2019-01-04,2018-11-08,57 days,2019,2018,11,November
1192,Camp Fire,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS",Butte,153336.0,-121.4347,39.8134,2018-11-25,2018-11-08,17 days,2018,2018,11,November
1193,Adams Fire,CAL FIRE Tehama - Glenn Unit,Tehama,60.0,-122.308479,40.346652,2019-01-04,2018-11-05,60 days,2019,2018,11,November
1194,Horn Fire,CAL FIRE Lassen - Modoc Unit,Lassen,88.0,-120.19336,40.83116,2019-01-04,2018-11-08,57 days,2019,2018,11,November
1195,Nurse Fire,Suisun City Fire Protection District,Solano,1500.0,-121.9424,38.21396,2019-01-04,2018-11-08,57 days,2019,2018,11,November
1196,Hill Fire,"Unified Command: CAL FIRE, Ventura County Fire, Ventura Sheriff Dept, LA County Fire, LA City Fire, LA Sherriff Dept, LA Police Dept",Ventura,4381.0,-118.93444,34.22685,2019-01-04,2018-11-08,57 days,2019,2018,11,November
1197,Woolsey Fire,Ventura County Fire Dept. and Los Angeles County Fire Dept.,"Los Angeles, Ventura",96949.0,-118.70128,34.235,2019-01-04,2018-11-08,57 days,2019,2018,11,November
1198,Pilot Fire,CAL FIRE Humbolt-Del Norte Unit,Humboldt,30.0,-123.67555556,40.61805556,2019-01-15,2019-01-01,14 days,2019,2019,1,January
1199,Honey Flooding,CAL FIRE Butte Unit,Butte,0.0,-121.77385,39.71217,2019-01-04,2018-11-29,36 days,2019,2018,11,November
1200,Morgan Fire,CAL FIRE Santa Clara Unit,Contra Costa,20.0,-121.7944,37.81111,2019-01-04,2018-11-15,50 days,2019,2018,11,November
1201,Green Hill Fire,CAL FIRE Humboldt - Del Norte Unit,Humboldt,10.0,-124.001849,40.888785,2019-01-04,2018-11-12,53 days,2019,2018,11,November
1202,Sierra Fire,Rialto Fire Department,San Bernardino,147.0,-117.43184,34.18075,2019-01-04,2018-11-13,52 days,2019,2018,11,November
1203,Niles Fire,CAL FIRE Santa Clara Unit,Alameda,20.0,-121.94182,37.61158,2019-01-04,2018-11-14,51 days,2019,2018,11,November
1204,Briggs Fire,Ventura County Fire Department,Ventura,150.0,-119.09916667,34.30166667,2019-01-04,2018-11-15,50 days,2019,2018,11,November
1205,Peak Fire,Ventura County Fire Department,Ventura,186.0,-118.64381589,34.26734825,2019-01-04,2018-11-12,53 days,2019,2018,11,November
1206,Bear Fire ,CAL FIRE San Mateo-Santa Cruz Unit,Santa Cruz,10.0,-122.12036,37.12857,2019-01-04,2018-11-16,49 days,2019,2018,11,November
1207,Scott Fire,CAL FIRE Nevada-Yuba-Placer Unit,Yuba,80.0,-121.32399,39.24678,2019-06-25,2019-06-25,0 days,2019,2019,6,June
1208,York Fire,Fresno-Kings County,Kings,161.0,-120.09715,35.81778,2019-06-24,2019-04-28,57 days,2019,2019,4,April
1209,Cana Fire,CAL FIRE / Butte County Fire,Butte,10.0,-121.957,39.83958,2019-05-08,2019-04-30,8 days,2019,2019,4,April
