City_ID,Name,Year,Month,Month created (num),County,Acres burned,Duration (days),Lat,Lon
939,Eastern Fire,2018,June,6,San Benito,513.0,214.0,36.378333,-120.901167
940,ONeals Fire,2018,June,6,Madera,300.0,214.0,37.10181,-119.623981
941,Panoche Fire,2018,June,6,San Benito,64.0,214.0,36.64832,-121.03253
942,Pallet Fire,2018,June,6,Sonoma,10.0,213.0,38.245151,-122.44408
943,Vista Fire,2018,June,6,San Diego,12.0,213.0,33.40769,-117.22974
944,Recycle Fire,2018,June,6,San Diego,265.0,212.0,32.63046,-116.46674
945,Liberty Fire,2018,June,6,San Joaquin,62.0,207.0,38.24033,-121.09199
946,Bear Fire,2018,June,6,Merced,200.0,211.0,37.33924,-120.24315
947,Apple Fire,2018,June,6,Tehama,2956.0,209.0,39.94355,-122.3571
948,Chrome Fire,2018,June,6,Glenn,2290.0,209.0,39.64978,-122.58218
949,Mission Fire,2018,June,6,Marin,12.0,209.0,37.97638,-122.5275
950,South Fire,2018,June,6,Los Angeles,175.0,209.0,37.97638,-122.5275
951,Sam Fire,2018,June,6,Monterey,96.0,209.0,35.9352,-121.11936
952,Beaver Fire,2018,June,6,San Benito,215.0,206.0,36.37532,-120.862579
953,Vista Fire,2018,June,6,San Luis Obispo,60.0,205.0,35.663607,-120.670311
954,Santiago Fire,2018,June,6,Orange,155.0,207.0,33.787838,-117.746625
955,Euclid Fire,2018,June,6,Riverside,154.0,206.0,33.925862,-117.654299
956,Portola Fire ,2018,June,6,Los Angeles,20.0,206.0,34.110516,-118.427886
957,Spring Fire,2018,June,6,Tehama,70.0,205.0,40.394073,-122.135924
958,Bridle Fire,2018,June,6,Riverside,20.0,204.0,33.524412,-116.821724
959,70 Fire,2018,June,6,Butte,20.0,204.0,39.602703,-121.617698
960,Creston FIre,2018,June,6,San Luis Obispo,60.0,204.0,35.58354,-120.624135
961,Tumbleweed Fire,2018,June,6,Lassen,646.0,204.0,40.3768,-120.36403
962,Planada Fire,2018,June,6,Merced,4563.0,203.0,37.39339,-120.34207
963,Raymond Fire,2018,June,6,Madera,60.0,203.0,37.14663,-119.91223
964,Boyer Fire,2018,June,6,Mariposa,53.0,203.0,37.47677,-119.84299
965,Oregon Fire,2018,June,6,Butte,40.0,202.0,39.549167,-121.521111
966,Creek Fire,2018,June,6,Lake,32.0,202.0,38.886518,-122.476381
967,Willow Fire,2018,June,6,Contra Costa,25.0,202.0,38.015323,-121.998967
968,China Fire,2018,June,6,Amador,17.0,201.0,38.265645,-120.892404
969,Vallecitos Fire,2018,June,6,Alameda,20.0,201.0,37.627119,-121.806775
970,Dinosaur Fire,2018,June,6,Merced,185.0,201.0,37.05876,-121.176354
971,Wheeler Fire,2018,June,6,Mariposa,115.0,200.0,37.707234,-120.199162
972,Iron Fire,2018,June,6,Contra Costa,40.0,199.0,37.779209,-121.908976
973,Ranchita Fire,2018,June,6,Monterey,10.0,199.0,35.77017,-120.57833
974,Yankee Fire,2018,June,6,San Luis Obispo,1500.0,198.0,35.73629,-120.75593
975,Creek Fire,2018,June,6,San Luis Obispo,10.0,197.0,35.05747,-120.39295
976,Bascom Fire,2018,June,6,Shasta,328.0,195.0,40.52909,-122.17457
977,Lane Fire,2018,June,6,Tehama,3392.0,195.0,40.35068,-121.77867
978,Sierra Fire,2018,June,6,Tehama,170.0,195.0,40.12791,-122.19792
979,Stoll Fire,2018,June,6,Tehama,268.0,195.0,40.18395,-122.27574
980,Pawnee Fire,2018,June,6,Lake,15180.0,195.0,39.0674,-122.59848
981,Canyon Fire,2018,June,6,Los Angeles,62.0,195.0,34.53765,-118.75495
982,Stony Fire,2018,July,7,Colusa,75.0,184.0,39.2976,-122.512012
983,Sheep Fire,2018,June,6,Kern,95.0,189.0,35.1234,-118.72905
984,Creek Fire,2018,June,6,Shasta,1678.0,194.0,40.50318,-122.42308
985,Flat Fire,2018,June,6,Tuolumne,163.0,194.0,37.80785,-120.30187
986,Horse Fire,2018,June,6,Calaveras,80.0,194.0,37.95766,-120.68902
987,Romero Fire,2018,June,6,Merced,68.0,194.0,37.08529,-121.09354
988,Peach Fire ,2018,July,7,Mendocino,90.0,183.0,39.038859,-123.38493
989,Waverly Fire,2018,June,6,San Joaquin,11789.0,189.0,38.052055,-120.945482
990,Llano Fire,2018,June,6,Butte,10.0,189.0,39.6139,-121.954098
991,Flat Fire,2018,June,6,Trinity,300.0,190.0,40.60402,-122.9144
992,San Ardo,2018,June,6,Monterey,375.0,360.0,35.95515,-120.86256
993,Lions Fire,2018,June,6,Madera,4064.0,207.0,37.571,-119.118
994,Anchor Fire,2018,June,6,Fresno,76.0,191.0,36.696879,-119.304499
995,Shippee Fire,2018,June,6,Butte,460.0,192.0,39.59872,-121.78208
996,Fox Fire,2018,June,6,San Luis Obispo,260.0,192.0,35.33916,-120.71488
997,Hyatt Fire,2018,June,6,Lassen,383.0,191.0,40.316137,-120.45053
998,Cherry Fire,2018,June,6,Siskiyou,63.0,191.0,41.83359,-122.99272
999,Par Fire,2018,July,7,Butte,191.0,184.0,39.491737,-121.637759
1000,Grant Fire,2018,June,6,Sacramento,30.0,189.0,38.595865,-121.17693
1001,Valley Fire,2018,June,6,Contra Costa,268.0,189.0,37.94714,-121.9921
1002,Tesla Fire,2018,June,6,Santa Clara,70.0,189.0,37.66074,-121.67144
1003,Creek Fire,2018,June,6,San Bernardino,33.0,188.0,34.17711,-117.15381
1004,Benton Fire,2018,July,7,Riverside,63.0,184.0,33.56349,-116.732032
1005,Lariat Fire,2018,July,7,Tehama,33.0,174.0,40.00293,-122.44008
1006,School Fire,2018,July,7,Madera,12.0,178.0,37.22791,-119.50461
1007,Petersburg Fire,2018,July,7,Siskiyou,215.0,187.0,41.085,-123.051
1008,West Fire,2018,July,7,San Diego,504.0,182.0,32.833674,-116.7311
